agreement_number;currency;acc_cod;saldo
1601/07/406/6339/1_KZT;KZT;FEE_ACR;16327.09
1601/07/406/6339/2_KZT;KZT;FEE_ACR;126885.02
1501/07/114/57_KZT;KZT;FEE_ACR;4524.3
0201/07/406/179-1_KZT;KZT;FEE_ACR;65144.62
0201/07/406/179-2_KZT;KZT;FEE_ACR;4511.4
0201/07/406/179-3_KZT;KZT;FEE_ACR;24060.8
0201/07/406/179-4_KZT;KZT;FEE_ACR;94198.03
1501/07/113/40_KZT;KZT;FEE_ACR;63215.42
1401/07/114/128_KZT;KZT;FEE_ACR;4388.38
1501/07/114/64_KZT;KZT;FEE_ACR;47422.36
1501/07/114/91_KZT;KZT;FEE_ACR;71769.42
1501/06/114/509_KZT;KZT;FEE_ACR;2246.48
0402/07/114/10_KZT;KZT;FEE_ACR;4226.93
1401/07/114/324_KZT;KZT;FEE_ACR;1902.29
1401/07/414/133_KZT;KZT;FEE_ACR;30570.65
1401/07/114/184_KZT;KZT;FEE_ACR;65291.13
0201/07/406/542-1_KZT;KZT;FEE_ACR;228879.07
0201/07/406/542-2_KZT;KZT;FEE_ACR;316805.31
0501/07/414/95_KZT;KZT;FEE_ACR;198942.39
0201/07/406/326-1_KZT;KZT;FEE_ACR;100178.06
1401/07/114/255_KZT;KZT;FEE_ACR;57152.55
1401/07/114/306_KZT;KZT;FEE_ACR;69427.91
1101/07/414/28_KZT;KZT;FEE_ACR;25054
1501/07/114/60_KZT;KZT;FEE_ACR;35623.67
0701/07/114/41_KZT;KZT;FEE_ACR;35149.16
1401/07/414/88_KZT;KZT;FEE_ACR;1549.7
0402/07/406/693_KZT;KZT;FEE_ACR;153586.12
1501/07/114/84_KZT;KZT;FEE_ACR;8440.88
0501/07/414/123_KZT;KZT;FEE_ACR;86872.26
1101/07/406/133-2_KZT;KZT;FEE_ACR;49309.75
1501/07/414/46_KZT;KZT;FEE_ACR;46706.54
0501/07/114/261_KZT;KZT;PNLT_FEE_OVRD;766.72
1501/07/114/57_KZT;KZT;PNLT_FEE_OVRD;45577.8
1501/07/113/40_KZT;KZT;PNLT_FEE_OVRD;285680.75
1401/07/114/128_KZT;KZT;PNLT_FEE_OVRD;34642.92
1501/07/114/64_KZT;KZT;PNLT_FEE_OVRD;22107.99
1501/07/114/91_KZT;KZT;PNLT_FEE_OVRD;673329.56
1501/06/114/509_KZT;KZT;PNLT_FEE_OVRD;118824.56
0501/07/414/47_KZT;KZT;PNLT_FEE_OVRD;6958.28
1101/07/114/28_KZT;KZT;PNLT_FEE_OVRD;42697.94
0402/07/114/10_KZT;KZT;PNLT_FEE_OVRD;2620.75
1401/07/414/133_KZT;KZT;PNLT_FEE_OVRD;2153.58
0501/07/2114/20_KZT;KZT;PNLT_FEE_OVRD;14037.25
0201/07/406/326-1_KZT;KZT;PNLT_FEE_OVRD;17939.75
0501/07/114/370_KZT;KZT;PNLT_FEE_OVRD;4204.7
1501/07/114/222_KZT;KZT;PNLT_FEE_OVRD;11339.76
0701/07/114/41_KZT;KZT;PNLT_FEE_OVRD;97890.53
0901/07/114/1737_KZT;KZT;PNLT_FEE_OVRD;14165.41
1501/07/114/84_KZT;KZT;PNLT_FEE_OVRD;236930.98
1501/07/414/46_KZT;KZT;PNLT_FEE_OVRD;60977.99
0601/07/114/2178_KZT;KZT;PNLT_FEE_OVRD;16385.86
