"_loan_id","_client_id","_line_id","_type","_number","_filial","_effect","rate","srok","open_date","end_date","summa","_client_type","_line_number","_line_sum","_open_line","_product","_peni"
"80e4000c297afa9111e7b3ba4d32414e","bdb8ab6189639ecd11e6afbf92ee428f","bf2e2c4d54674cb511e7a2b4844326b4","Потребительский кредит","04",NULL,"59.800","55.00","24","2016-11-17","2018-11-17","2500000.00","0","04","2500000.00","2016-11-11","Среднесрочный потребительский кредит под залоговое обеспечение","1.00"
"bdbe882d9522b7ce11e6c1b562150f90","bdbcfec1caa1c9ce11e6bb8f12fb23f4","bdbe882d9522b7ce11e6bdd498f79e3a","Пополнение оборотных средств","05",NULL,"55.600","48.00","6","2016-12-06","2017-05-06","13000000.00","1","00000005","13000000.00","2016-11-29","Долгосрочный  микрокредит на пополнение оборотных средств-48","1.00"
"ab8690fba666762811e6ed1915fcf4dc","bdb6df8e8bbe9ac211e6a7063c6c2a58","ab8690fba666762811e6ed1915fcf4d7","Потребительский кредит","06",NULL,"55.700","55.00","36","2017-01-19","2020-01-19","3000000.00","0","06","3000000.00","2017-01-10","Кредитная линия для физических лиц","0.50"
"ab8690fba666762811e6ed1f35542f1f","ab8690fba666762811e6ed1f35542f18","ab8690fba666762811e6ed1f35542f1d","Пополнение оборотных средств","07",NULL,"55.700","55.00","12","2017-01-19","2018-01-19","4600000.00","1","07","5219891.00","2017-01-19","Краткосрочный микрокредит на пополнение оборотных средств-55","1.00"
"892590fba666762811e74030b645ccde","bdb0d6512ca9c7c311e68a1204cf244e","892590fba666762811e74030b645ccd8","Потребительский кредит","10",NULL,"55.700","55.00","36","2017-02-24","2020-02-24","9700000.00","0","-000000010","9700000.00","2017-02-24","Кредитная линия для физических лиц","0.50"
"892590fba666762811e74030b645ccfd","892590fba666762811e74030b645ccf5","892590fba666762811e74030b645ccfa","Пополнение оборотных средств","13",NULL,"54.700","48.00","12","2017-03-29","2018-03-29","13400000.00","1","-0000000013","18000000.00","2017-03-27","Долгосрочный  микрокредит на пополнение оборотных средств-48","1.00"
"892590fba666762811e74030b645cd05","892590fba666762811e74030b645ccf5","892590fba666762811e74030b645ccfa","Пополнение оборотных средств","15",NULL,"53.800","48.00","12","2017-04-20","2018-04-20","3500000.00","1","-0000000013","18000000.00","2017-03-27","Долгосрочный  микрокредит на пополнение оборотных средств-48","1.00"
"892590fba666762811e74aa24833ec00","90cb2c4d54674cb511e74a7303c3a2a1","892590fba666762811e74aa24833ebfc","Потребительский кредит","17",NULL,"17.300","17.00","48","2017-06-02","2021-06-02","8000000.00","0","-0000000017","9800000.00","2017-06-02","Кредитная линия для физических лиц -17%","1.00"
"b4162c4d54674cb511e75b1431080e63","bdbcfec1caa1c9ce11e6bb8f12fb23f4","b4162c4d54674cb511e75b1431080e5d","Пополнение оборотных средств","20",NULL,"54.500","50.00","12","2017-06-23","2018-06-23","13000000.00","1","-0000000020","13000000.00","2017-06-23","Краткосрочный  микрокредит на пополнение оборотных средств -50%","1.00"
"a17f2c4d54674cb511e77e78e38d5096","bdbcfec1caa1c9ce11e6bb8f12fb23f4","a17f2c4d54674cb511e77e78e38d5090","Пополнение оборотных средств","22",NULL,"54.400","50.00","12","2017-08-10","2018-08-10","2000000.00","1","-0000000022","2000000.00","2017-08-10","Краткосрочный  микрокредит на пополнение оборотных средств -50%","1.00"
"be522c4d54674cb511e78665ee0c533d","a6aa2c4d54674cb511e786508dbb581e","be522c4d54674cb511e78657df31c0a4","Потребительский кредит","23",NULL,"54.400","50.00","12","2017-08-18","2018-08-18","7000000.00","0","23","7000000.00","2017-08-15","Краткосрочный потребительский кредит под 50%","1.00"
