"_loan_id","_pdate","_od","_pr","_ost_pre","_ost_aft"
"80e4000c297afa9111e7b3ba4d32414e","2016-12-17","59322.00","114583.00","2440678.000","2440678.000"
"80e4000c297afa9111e7b3ba4d32414e","2017-01-17","58312.00","115593.00","2382366.000","2382366.000"
"80e4000c297afa9111e7b3ba4d32414e","2017-02-17","61073.00","112832.00","2321293.000","2321292.000"
"80e4000c297afa9111e7b3ba4d32414e","2017-03-17","74605.00","99300.00","2246688.000","2246687.000"
"80e4000c297afa9111e7b3ba4d32414e","2017-04-17","67499.00","106406.00","2179189.000","2179188.000"
"80e4000c297afa9111e7b3ba4d32414e","2017-05-17","74025.00","99880.00","2105164.000","2105162.000"
"80e4000c297afa9111e7b3ba4d32414e","2017-06-17","74202.00","99703.00","2030962.000","2030960.000"
"80e4000c297afa9111e7b3ba4d32414e","2017-07-17","80819.00","93086.00","1950143.000","1950141.000"
"80e4000c297afa9111e7b3ba4d32414e","2017-08-17","81544.00","92361.00","1868599.000","1868597.000"
"80e4000c297afa9111e7b3ba4d32414e","2017-09-17","85406.00","88499.00","1783193.000","1783191.000"
"80e4000c297afa9111e7b3ba4d32414e","2017-10-17","92175.00","81730.00","1691018.000","1691016.000"
"80e4000c297afa9111e7b3ba4d32414e","2017-11-17","93816.00","80089.00","1597202.000","1597199.000"
"80e4000c297afa9111e7b3ba4d32414e","2017-12-17","100700.00","73205.00","1496502.000","1496499.000"
"80e4000c297afa9111e7b3ba4d32414e","2018-01-17","103029.00","70876.00","1393473.000","1393470.000"
"80e4000c297afa9111e7b3ba4d32414e","2018-02-17","107908.00","65997.00","1285565.000","1285561.000"
"80e4000c297afa9111e7b3ba4d32414e","2018-03-17","118911.00","54994.00","1166654.000","1166649.000"
"80e4000c297afa9111e7b3ba4d32414e","2018-04-17","118651.00","55254.00","1048003.000","1047998.000"
"80e4000c297afa9111e7b3ba4d32414e","2018-05-17","125871.00","48034.00","922132.000","922126.000"
"80e4000c297afa9111e7b3ba4d32414e","2018-06-17","130232.00","43673.00","791900.000","791894.000"
"80e4000c297afa9111e7b3ba4d32414e","2018-07-17","137609.00","36296.00","654291.000","654284.000"
"80e4000c297afa9111e7b3ba4d32414e","2018-08-17","142917.00","30988.00","511374.000","511367.000"
"80e4000c297afa9111e7b3ba4d32414e","2018-09-17","149686.00","24219.00","361688.000","361681.000"
"80e4000c297afa9111e7b3ba4d32414e","2018-10-17","157328.00","16577.00","204360.000","204353.000"
"80e4000c297afa9111e7b3ba4d32414e","2018-11-19","204360.00","10303.00","0.000","0.000"
"810800505694c42011e8e7ba2a487226","2018-12-14","0.00","142083.00","3100000.000","3100000.000"
"810800505694c42011e8e7ba2a487226","2019-01-14","0.00","146819.00","3100000.000","3100000.000"
"810800505694c42011e8e7ba2a487226","2019-02-14","0.00","146819.00","3100000.000","3100000.000"
"810800505694c42011e8e7ba2a487226","2019-03-14","0.00","132611.00","3100000.000","3100000.000"
"810800505694c42011e8e7ba2a487226","2019-04-15","0.00","151556.00","3100000.000","3100000.000"
"810800505694c42011e8e7ba2a487226","2019-05-14","0.00","137347.00","3100000.000","3100000.000"
"810800505694c42011e8e7ba2a487226","2019-06-14","458281.00","146819.00","3100000.000","2641719.000"
"810800505694c42011e8e7ba2a487226","2019-07-15","479985.00","125115.00","2641719.000","2161734.000"
"810800505694c42011e8e7ba2a487226","2019-08-14","506021.00","99079.00","2161734.000","1655713.000"
"810800505694c42011e8e7ba2a487226","2019-09-16","521624.00","83476.00","1655713.000","1134089.000"
"810800505694c42011e8e7ba2a487226","2019-10-14","556586.00","48514.00","1134089.000","577503.000"
"810800505694c42011e8e7ba2a487226","2019-11-14","577503.00","27351.00","577503.000","0.000"
"810800505694c42011e8e7cb1163dc84","2018-11-15","0.00","0.00","0.000","0.000"
"810800505694c42011e8e7cb1163dc84","2018-12-19","0.00","362667.00","8000000.000","8000000.000"
"810800505694c42011e8e7cb1163dc84","2019-01-15","0.00","288000.00","8000000.000","8000000.000"
"810800505694c42011e8e7cb1163dc84","2019-02-15","0.00","330667.00","8000000.000","8000000.000"
"810800505694c42011e8e7cb1163dc84","2019-03-15","0.00","298667.00","8000000.000","8000000.000"
"810800505694c42011e8e7cb1163dc84","2019-04-15","0.00","330667.00","8000000.000","8000000.000"
