"cnum_dat","acc_cod","acc_funct","newbalacc","npc","abs","currency","dtdate"
"741","PEN_PRC","Неустойка по процентам просроченным","1879","1879","0","USD","2017-09-21"
"741","PEN_CR","Неустойка по долгу просроченному","1879","1879","0","USD","2017-09-21"
"741","ACC_PROFIT_PF","Проценты","1740","1740","0","USD","2017-09-21"
"741","NOT_STOP_TREB_PRC","Внесистемный учет непрекращенных требований по начисленным доходам по вознаграждению","A841","1740","49982.45","USD","2017-09-21"
"741","NOT_STOP_TREB_DEL_OTR","Внесистемный учет непрекращенных требований по корректировки амортизированной стоимости","A843","1741","49982.45","USD","2017-09-21"
"741","NOT_STOP_TREB_CRD","Внесистемный учет непрекращенных требований по займам (основной долг)","A835","1424","336076.29","USD","2017-09-21"
"741","ACC_BL_DEBT_CR","Долг блокированный","1427","1427","0","USD","2017-09-21"
"741","ACC_RESERT","Провизии общие","1465","1465","0","KZT","2017-09-21"
"741","ACC_RESERV_KZT","Резервы (провизии)","1428","1428","0","KZT","2017-09-21"
"741","VNB_EXCEED_CRED","Долг списанный","7135","1424","0","USD","2017-09-21"
"741","VNB_EXCEED_PRC","Проценты списанные","7141","1741","0","USD","2017-09-21"
"741","ACC_RESERV","Резервы (провизии)","1428","1428","0","USD","2017-09-21"
"741","VNB_TIME_OBLIG","Срочные обязательства","7339","1879","0","USD","2017-09-21"
"741","VNB_PEN_CR","Пеня по долгу просроченному","7339","1879","0","USD","2017-09-21"
"741","VNB_PEN_PRC","Пеня по процентам просроченным","7339","1879","0","USD","2017-09-21"
"741","ACCOUNT","Долг","1417","1417","0","USD","2017-09-21"
"741","ACC_DEBTS_CR","Долг просроченный","1424","1424","0","USD","2017-09-21"
"741","ACC_DEBTS_PRC","Проценты просроченные","1741","1741","0","USD","2017-09-21"
"741","PROFIT","Stop Проценты","A401","1741","1662055.79","USD","2017-09-21"
"741","PENY_OVERDUE_ACCOUNT","Stop Пеня на долг просроченный","A701","1879","0","USD","2017-09-21"
"741","PENY_OVERDUE_PROFIT","Stop Пеня на проценты просроченные","A702","1879","3846986.53","USD","2017-09-21"
